author_id,name,birth_year
1,Kenneth Collins,1947
2,Nancy Phillips,1989
3,Brett Wilson,1955
4,Dennis Johnson,1953
5,Michelle Clayton,1957
6,Bradley Henderson,1962
7,Kirk Barker,1941
8,John Robinson,1966
9,Matthew Greene MD,1966
10,Bob Smith,1972
11,Ashley Price,1978
12,Roberto Mclaughlin,1981
13,Amy Johnson,1994
14,Anthony Day,1942
15,Alexis Harrison,1984
16,Dustin Scott,1943
17,Martin Anderson,1947
18,Carrie Scott,1995
19,Deanna Myers DDS,1972
20,Jordan Bowman,1957
21,Beth York,1956
22,Brooke Church,1944
23,Timothy Moore,1970
24,Gary Shepherd,1992
25,Rodney Davis,1959
26,Emily Glass,1952
27,Becky Hayes,1965
28,Rebekah Armstrong,1981
29,Lauren Young,1990
30,Robert Turner,1975
31,Joshua Wilson,1949
32,Jennifer Merritt,1982
33,Joshua House,1994
34,Miranda Edwards,1990
35,Nathan Cervantes,1990
36,Shawn Jones,1972
37,Robert Jackson,1948
38,Adam Smith,1966
39,Jennifer Cox,1973
40,Ryan Singleton,1990
41,Samuel Hartman,1977
42,Stacie Miller,1982
43,Erica Meza,1985
44,Gregory Lopez,1966
45,Marissa Long,1954
46,Kristen Williams,1966
47,Amanda Marquez,1946
48,Theresa Alvarez,1989
49,Donna Olson,1972
50,Cindy Short,1972
51,Kenneth Schneider,1942
52,Erin Frazier,1979
53,Latasha Smith,1946
54,Dr. Michael Pratt,1953
55,Jason Donaldson,1982
56,Crystal Sullivan,1972
57,Melissa Davis,1984
58,Valerie Howard,1987
59,Robert Perez,1972
60,Robert Mullins,1964
61,Darlene Fisher,1954
62,James Dennis,1966
63,Tricia Davis,1971
64,Megan Trujillo,1980
65,William Maxwell,1988
66,Austin Orozco,1958
67,Natalie Howard,1954
68,Taylor Grimes,1965
69,Karen Green,1988
70,Kathryn Hinton,1987
71,Sabrina Hughes,1982
72,Connie Pittman,1957
73,Paige Ortega,1995
74,Rebecca Stafford,1945
75,Joshua Miller,1963
76,Angela Smith,1957
77,Christopher Campbell,1971
78,Aaron Dickson,1947
79,Shannon Wilson,1941
80,Melissa Garcia,1969
81,Anthony Norris,1979
82,Jamie Byrd,1941
83,Becky Martinez,1956
84,Peter Thomas,1986
85,Sara Jefferson,1971
86,Tracy Murphy,1950
87,Terry Smith,1947
88,Matthew Donovan,1961
89,Jennifer Robinson,1973
90,Michaela Davila,1959
91,Vincent Hill,1980
92,Nancy Cooper,1949
93,Lisa Clements,1949
94,Christina Lyons,1968
95,Belinda Harmon,1993
96,Dawn Jones,1978
97,Shawna Gray,1985
98,Kenneth Hall,1950
99,Matthew Reeves,1967
100,Tyler Davis,1958
101,James Wright,1955
102,Nicole Jimenez,1986
103,John Payne,1980
104,Julie Fields,1979
105,Jessica Contreras,1955
106,Patricia Logan,1987
107,Cheryl Foster,1946
108,Jamie Turner,1990
109,Brenda Hanson,1984
110,David Ward,1974
111,Herbert Flores,1949
112,Kimberly Haynes,1984
113,Dennis Ray,1958
114,Brian Hogan,1959
115,Brian Snyder,1960
116,Richard Patterson,1953
117,Sandra Burton,1963
118,Jeffrey Jones,1969
119,Paul Cruz,1946
120,Linda Wood,1978
121,Mark Martin,1943
122,Elizabeth Davis,1973
123,Sarah Shepherd,1993
124,Paul Arias,1975
125,Cody Sloan,1991
126,Wendy Savage,1957
127,Sabrina Mckinney,1952
128,Sandra Moore,1984
129,Hannah Page,1941
130,Jennifer Robinson,1989
131,Jordan Cain,1995
132,Adrian Perkins,1995
133,Mary Davis,1942
134,Mitchell Huang,1959
135,Richard George,1994
136,Morgan Turner,1961
137,Tristan Jensen,1940
138,Kristen Larsen,1943
139,Gregory Henry,1962
140,Megan Becker,1942
141,Shawn Brown,1948
142,Timothy Hansen,1947
143,Brad Gray,1962
144,Aaron Anderson,1977
145,Michael Howard,1982
146,Stephen Jones,1985
147,Daniel Riley,1948
148,Jason Schultz,1991
149,Shaun Walker,1961
150,Sandra Smith,1951
151,Jonathan Anderson,1962
152,Carrie Petersen,1971
153,Lauren Martinez,1949
154,Jamie Buckley,1955
155,George Jones,1964
156,Jennifer Conway,1988
157,Kirsten Byrd,1995
158,Shelley Patel,1983
159,Patricia Miller,1991
160,Robert Walker,1980
161,Paige Brewer,1980
162,Sheri Robinson,1972
163,Jonathan Swanson,1990
164,Laura Rivera,1956
165,Amanda Kane,1960
166,Kevin Livingston,1971
167,Suzanne Simmons,1995
168,Mark Chang,1963
169,Jennifer Butler,1991
170,Christopher Smith,1993
171,April Franklin,1981
172,Mario Kelly,1948
173,Margaret Larson,1951
174,Deanna Cervantes,1982
175,Frank Aguirre,1963
176,Deborah Henderson,1957
177,Danny Vincent,1940
178,Tabitha Hanson,1949
179,Nicole Johnson,1987
180,Don Carr,1962
181,Robert Kim,1970
182,Stephanie Wolf,1964
183,Dennis Gray,1978
184,Kimberly Oconnell,1959
185,Michael Anderson,1954
186,Mark Moody,1992
187,Alison Taylor,1941
188,Amy Rodriguez,1956
189,Diana Mcintyre,1995
190,Savannah Colon,1985
191,Joann Burke,1959
192,Jennifer Mooney,1968
193,Larry Cole,1945
194,Nicole Hernandez,1947
195,Kevin Santana,1992
196,Laura Higgins,1984
197,Sandra Wright,1995
198,Laurie Guerrero,1990
199,Lauren Wheeler,1959
200,Matthew Bryant,1973
201,Jon Huber,1940
202,Willie Gallagher,1968
203,Nancy Jones,1942
204,Melissa Gilbert,1993
205,Maureen Hoffman,1944
206,Lynn Mathews,1980
207,Sandra Woods,1968
208,Dylan Smith,1991
209,Sandra Powell,1977
210,Lisa Green,1983
211,Michelle Beard,1993
212,Jessica Mclean,1988
213,Katelyn Ferrell,1967
214,Julia Dyer,1964
215,Julie Delgado,1962
216,James Roberts,1979
217,Adam Simmons,1977
218,Lindsey Nelson,1941
219,Sophia Delgado,1948
220,Roy Flowers,1958
221,Melissa Frost,1989
222,Robert Ramos,1946
223,Marcus Cook,1941
224,Crystal Lee,1951
225,Francisco Crawford,1962
226,Autumn Baker,1981
227,Morgan Smith,1995
228,Tanya Carr,1963
229,Sharon Wu,1944
230,Paul Howard,1957
231,Cynthia Hawkins,1965
232,Sarah Spencer,1952
233,Ashley Williams,1980
234,Joseph Ramos,1968
235,Anthony Hernandez,1964
236,Joseph Hubbard,1969
237,Pamela Simmons,1943
238,Nicole Taylor,1991
239,Sarah Matthews,1946
240,Erik Meza,1949
241,Deborah Miller,1971
242,Karen Jacobson,1958
243,Austin King,1964
244,Marcus Cantrell,1966
245,Luis Smith,1958
246,Shannon Scott,1953
247,Tom Turner,1950
248,Regina Martinez,1975
249,Lorraine Murray,1954
250,Brittany Coleman,1945
251,Rachel Perez,1951
252,Casey Nguyen,1990
253,Carla Stewart,1945
254,Emily Neal,1971
255,Ryan Ball MD,1948
256,Lawrence Hernandez,1956
257,Frank Reed,1957
258,Ronald Wood,1943
259,Bradley Knight,1977
260,Cynthia Ballard,1977
261,Brianna Gross,1965
262,Jared Webb,1954
263,Andrew Morse,1958
264,Ashley Leach,1970
265,Carla Harmon,1991
266,Gregory Wright,1988
267,Jennifer Smith,1974
268,Breanna Gregory,1965
269,Daniel Wong,1946
270,Jordan James,1944
271,Melissa Anderson,1964
272,Wendy Ruiz,1961
273,Jacqueline Evans,1954
274,Gregory Fowler,1973
275,Gerald Moss,1964
276,Diamond Nguyen,1978
277,Mitchell Rodgers,1967
278,Michelle Gray,1942
279,Cathy Lee,1955
280,Laurie Coleman,1994
281,Jocelyn Roberts,1955
282,Julia Avila,1976
283,Karen Hansen,1991
284,Melinda Henry,1941
285,Leah Joseph,1980
286,Taylor James,1966
287,Ronald Campbell,1951
288,David Vang,1940
289,Rebecca Avila,1955
290,Mark Williams,1991
291,Alexa Mitchell,1959
